,Unnamed: 0,Unnamed: 1,1,2,3,4,GEN_ALIAS,1p,2p,3p,4p
0,-122.359579,47.698699,27,39,1,0,Greenwood/Phinney Ridge,0.4029850746268657,0.582089552238806,0.01492537313432836,0.0
1,-122.29701,47.629,11,22,3,0,Montlake/Portage Bay,0.3055555555555556,0.6111111111111112,0.08333333333333333,0.0
2,-122.301123,47.603136,44,39,4,0,Central Area/Squire Park,0.5057471264367817,0.4482758620689655,0.045977011494252866,0.0
3,-122.31755,47.627629,36,118,4,2,North Capitol Hill,0.225,0.7375,0.025,0.0125
4,-122.290185,47.701419,5,8,0,0,Wedgwood/View Ridge,0.38461538461538464,0.6153846153846154,0.0,0.0
5,-122.383423,47.697188,12,12,1,0,North Beach/Blue Ridge,0.48,0.48,0.04,0.0
6,-122.334788,47.58342,17,13,0,0,Duwamish/SODO,0.5666666666666667,0.43333333333333335,0.0,0.0
7,-122.329314,47.559209,35,32,0,1,Duwamish/SODO,0.5147058823529411,0.4705882352941176,0.0,0.014705882352941175
8,-122.392035,47.632665,10,13,1,0,Magnolia,0.4166666666666667,0.5416666666666666,0.04166666666666666,0.0
9,-122.286839,47.532019,17,11,0,0,South Beacon Hill/NewHolly,0.6071428571428571,0.3928571428571429,0.0,0.0
10,-122.319831,47.577547,37,22,0,0,Duwamish/SODO,0.6271186440677966,0.3728813559322034,0.0,0.0
11,-122.360129,47.559454,6,8,0,0,North Delridge,0.42857142857142855,0.5714285714285714,0.0,0.0
12,-122.28744,47.669616,28,41,3,0,Ravenna/Bryant,0.3888888888888889,0.5694444444444444,0.04166666666666666,0.0
13,-122.352313,47.652396,41,92,5,4,Fremont,0.2887323943661972,0.647887323943662,0.035211267605633804,0.028169014084507043
14,-122.33418600000002,47.680326,20,37,3,0,Green Lake,0.3333333333333333,0.6166666666666667,0.05,0.0
15,-122.29783799999998,47.548231,23,29,1,0,Beacon Hill,0.4339622641509434,0.5471698113207547,0.018867924528301886,0.0
16,-122.32445,47.565759,26,17,0,1,Duwamish/SODO,0.5909090909090909,0.3863636363636364,0.0,0.022727272727272728
17,-122.38193,47.532979,14,9,0,0,Roxhill/Westwood,0.6086956521739131,0.39130434782608703,0.0,0.0
18,-122.276094,47.551107,41,46,1,0,Columbia City,0.4659090909090909,0.5227272727272727,0.011363636363636364,0.0
19,-122.35891,47.683359,33,60,3,0,Greenwood/Phinney Ridge,0.34375,0.625,0.03125,0.0
20,-122.302409,47.633453,15,36,3,0,Montlake/Portage Bay,0.2777777777777778,0.6666666666666666,0.05555555555555555,0.0
21,-122.304705,47.65637,81,68,0,0,University District,0.5436241610738255,0.4563758389261745,0.0,0.0
22,-122.373232,47.580562,18,27,2,0,North Delridge,0.3829787234042553,0.5744680851063829,0.0425531914893617,0.0
23,-122.352906,47.620704,39,115,6,5,Queen Anne,0.2363636363636364,0.696969696969697,0.03636363636363636,0.030303030303030307
24,-122.322212,47.586345,58,58,0,0,Duwamish/SODO,0.5,0.5,0.0,0.0
25,-122.397129,47.547349,14,11,0,0,Fauntleroy/Seaview,0.56,0.44,0.0,0.0
26,-122.397058,47.69625,4,3,1,0,North Beach/Blue Ridge,0.5,0.375,0.125,0.0
27,-122.308919,47.535689,13,14,0,0,Georgetown,0.4814814814814815,0.5185185185185185,0.0,0.0
28,-122.389896,47.678163,58,84,2,0,Sunset Hill/Loyal Heights,0.4027777777777778,0.5833333333333334,0.013888888888888888,0.0
29,-122.355399,47.547047,10,3,0,0,Riverview,0.7692307692307693,0.2307692307692308,0.0,0.0
30,-122.379221,47.706754,5,3,0,0,North Beach/Blue Ridge,0.625,0.375,0.0,0.0
31,-122.342231,47.550373,18,7,0,0,Riverview,0.72,0.28,0.0,0.0
32,-122.385413,47.64967,17,24,1,0,Interbay,0.4047619047619048,0.5714285714285714,0.023809523809523808,0.0
33,-122.390618,47.551652,30,44,4,0,Fauntleroy/Seaview,0.38461538461538464,0.5641025641025641,0.05128205128205128,0.0
34,-122.314634,47.725065,13,9,0,0,Olympic Hills/Victory Heights,0.5909090909090909,0.4090909090909091,0.0,0.0
35,-122.305049,47.640903,4,7,0,0,Montlake/Portage Bay,0.3636363636363637,0.6363636363636364,0.0,0.0
36,-122.369699,47.554859,10,10,0,0,North Delridge,0.5,0.5,0.0,0.0
37,-122.326104,47.579004,26,20,0,0,Duwamish/SODO,0.5652173913043478,0.43478260869565216,0.0,0.0
38,-122.325722,47.725985,10,5,0,0,Haller Lake,0.6666666666666666,0.3333333333333333,0.0,0.0
39,-122.333422,47.528923,3,3,0,0,South Park,0.5,0.5,0.0,0.0
40,-122.304153,47.563585,20,14,0,0,North Beacon Hill/Jefferson Park,0.5882352941176471,0.4117647058823529,0.0,0.0
41,-122.324799,47.53090200000001,14,10,0,0,South Park,0.5833333333333334,0.4166666666666667,0.0,0.0
42,-122.375398,47.564462,32,51,4,0,North Delridge,0.36781609195402293,0.5862068965517241,0.045977011494252866,0.0
43,-122.353069,47.675446,29,49,2,0,Greenwood/Phinney Ridge,0.3625,0.6125,0.025,0.0
44,-122.402294,47.683262,4,7,1,0,Sunset Hill/Loyal Heights,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0
45,-122.365654,47.647649,34,61,2,2,Queen Anne,0.3434343434343434,0.6161616161616161,0.020202020202020204,0.020202020202020204
