,,1,2,3,4,cra,1p,2p,3p,4p
-122.33027299999999,47.605973999999996,51,122,19,2,First Hill,0.26288659793814434,0.6288659793814433,0.0979381443298969,0.010309278350515464
-122.38672,47.569288,35,62,5,0,West Seattle Junction/Genesee Hill,0.3431372549019608,0.6078431372549019,0.049019607843137254,0.0
-122.292344,47.681728,15,26,2,0,Ravenna/Bryant,0.3488372093023256,0.6046511627906976,0.046511627906976744,0.0
-122.29561799999999,47.541606,18,10,0,0,South Beacon Hill/NewHolly,0.6428571428571429,0.35714285714285715,0.0,0.0
-122.313374,47.657354,81,64,1,0,University District,0.5547945205479452,0.4383561643835616,0.00684931506849315,0.0
-122.289612,47.675739,21,32,2,0,Ravenna/Bryant,0.38181818181818183,0.5818181818181818,0.03636363636363636,0.0
-122.38841000000001,47.685288,21,25,2,0,Sunset Hill/Loyal Heights,0.4375,0.5208333333333334,0.041666666666666664,0.0
-122.292374,47.687312,12,20,2,0,Wedgwood/View Ridge,0.35294117647058826,0.5882352941176471,0.058823529411764705,0.0
-122.33803600000002,47.652575,52,88,7,2,Fremont,0.348993288590604,0.5906040268456376,0.04697986577181208,0.013422818791946308
-122.33632800000001,47.679919,20,38,3,0,Green Lake,0.32786885245901637,0.6229508196721312,0.04918032786885246,0.0
-122.30021699999999,47.563697,25,17,0,0,North Beacon Hill/Jefferson Park,0.5952380952380952,0.40476190476190477,0.0,0.0
-122.404164,47.65893,8,6,2,0,Magnolia,0.5,0.375,0.125,0.0
-122.312575,47.704294,28,25,0,0,Northgate/Maple Leaf,0.5283018867924528,0.4716981132075472,0.0,0.0
-122.37208700000001,47.649827,25,28,0,1,Queen Anne,0.46296296296296297,0.5185185185185185,0.0,0.018518518518518517
-122.301276,47.661284,83,71,1,0,Ravenna/Bryant,0.535483870967742,0.45806451612903226,0.0064516129032258064,0.0
-122.34433,47.620989,41,125,11,5,Cascade/Eastlake,0.22527472527472528,0.6868131868131868,0.06043956043956044,0.027472527472527472
-122.30792199999999,47.623321999999995,43,121,9,3,Miller Park,0.24431818181818182,0.6875,0.05113636363636364,0.017045454545454544
-122.318427,47.576668,36,19,0,0,Duwamish/SODO,0.6545454545454545,0.34545454545454546,0.0,0.0
-122.32773600000002,47.606665,50,125,19,2,First Hill,0.25510204081632654,0.6377551020408163,0.09693877551020408,0.01020408163265306
-122.29156299999998,47.637387,5,18,3,0,Madison Park,0.19230769230769232,0.6923076923076923,0.11538461538461539,0.0
-122.294587,47.555706,27,36,1,0,Beacon Hill,0.421875,0.5625,0.015625,0.0
-122.31302099999999,47.706527,27,25,0,0,Northgate/Maple Leaf,0.5192307692307693,0.4807692307692308,0.0,0.0
-122.37648700000001,47.541063,13,11,0,0,High Point,0.5416666666666666,0.4583333333333333,0.0,0.0
-122.281324,47.564496000000005,24,39,1,0,Columbia City,0.375,0.609375,0.015625,0.0
-122.365728,47.691182,42,57,2,0,Greenwood/Phinney Ridge,0.4158415841584158,0.5643564356435643,0.019801980198019802,0.0
-122.39376499999999,47.694671,4,3,1,0,North Beach/Blue Ridge,0.5,0.375,0.125,0.0
-122.341563,47.665416,31,56,7,1,Green Lake,0.3263157894736842,0.5894736842105263,0.07368421052631578,0.010526315789473684
-122.28438799999999,47.715319,19,14,0,0,Cedar Park/Meadowbrook,0.5757575757575758,0.42424242424242425,0.0,0.0
-122.29334899999999,47.619149,27,37,5,0,Central Area/Squire Park,0.391304347826087,0.5362318840579711,0.07246376811594203,0.0
-122.342348,47.692115,35,47,2,0,Licton Springs,0.4166666666666667,0.5595238095238095,0.023809523809523808,0.0
-122.361457,47.678657,36,69,3,0,Greenwood/Phinney Ridge,0.3333333333333333,0.6388888888888888,0.027777777777777776,0.0
-122.302691,47.711759,27,24,0,0,Olympic Hills/Victory Heights,0.5294117647058824,0.47058823529411764,0.0,0.0
-122.370044,47.53618,7,5,0,0,High Point,0.5833333333333334,0.4166666666666667,0.0,0.0
-122.31836799999999,47.653602,84,62,3,0,University District,0.5637583892617449,0.4161073825503356,0.020134228187919462,0.0
-122.292098,47.696943,7,9,0,0,Wedgwood/View Ridge,0.4375,0.5625,0.0,0.0
-122.37421599999999,47.569208,38,54,5,0,North Delridge,0.3917525773195876,0.5567010309278351,0.05154639175257732,0.0
-122.329903,47.651953000000006,53,70,8,1,Wallingford,0.4015151515151515,0.5303030303030303,0.06060606060606061,0.007575757575757576
-122.32522800000001,47.71502,29,21,0,0,Haller Lake,0.58,0.42,0.0,0.0
-122.290885,47.725962,24,20,0,0,Cedar Park/Meadowbrook,0.5454545454545454,0.45454545454545453,0.0,0.0
-122.36346499999999,47.645417,36,75,2,2,Queen Anne,0.3130434782608696,0.6521739130434783,0.017391304347826087,0.017391304347826087
-122.325848,47.659223,78,71,6,0,Wallingford,0.5032258064516129,0.45806451612903226,0.03870967741935484,0.0
-122.330297,47.687839000000004,21,41,3,0,Green Lake,0.3230769230769231,0.6307692307692307,0.046153846153846156,0.0
-122.390679,47.642388000000004,16,19,1,0,Interbay,0.4444444444444444,0.5277777777777778,0.027777777777777776,0.0
-122.36330600000001,47.642138,33,73,2,2,Queen Anne,0.3,0.6636363636363637,0.01818181818181818,0.01818181818181818
-122.33008999999998,47.620843,44,130,11,5,Cascade/Eastlake,0.23157894736842105,0.6842105263157895,0.05789473684210526,0.02631578947368421
-122.30736100000001,47.558013,17,20,0,1,Beacon Hill,0.4473684210526316,0.5263157894736842,0.0,0.02631578947368421
-122.33436299999998,47.603092,53,115,19,2,Downtown Commercial Core,0.2804232804232804,0.6084656084656085,0.10052910052910052,0.010582010582010581
-122.28881000000001,47.620634,16,29,5,0,Madrona/Leschi,0.32,0.58,0.1,0.0
-122.37846,47.649734,26,24,1,0,Interbay,0.5098039215686274,0.47058823529411764,0.0196078431372549,0.0
-122.27726399999999,47.661769,5,11,1,0,Laurelhurst/Sand Point,0.29411764705882354,0.6470588235294118,0.058823529411764705,0.0
-122.33286399999999,47.551834,30,18,0,1,Georgetown,0.6122448979591837,0.3673469387755102,0.0,0.02040816326530612
-122.340777,47.724162,25,18,0,0,Haller Lake,0.5813953488372093,0.4186046511627907,0.0,0.0
-122.33711299999999,47.626528,26,96,9,3,Cascade/Eastlake,0.19402985074626866,0.7164179104477612,0.06716417910447761,0.022388059701492536
-122.374096,47.706749,8,7,0,0,North Beach/Blue Ridge,0.5333333333333333,0.4666666666666667,0.0,0.0
-122.353476,47.575579,4,3,0,0,North Delridge,0.5714285714285714,0.42857142857142855,0.0,0.0
-122.39031000000001,47.544608000000004,14,7,0,0,Fauntleroy/Seaview,0.6666666666666666,0.3333333333333333,0.0,0.0
-122.27895900000001,47.673223,9,18,1,0,Ravenna/Bryant,0.32142857142857145,0.6428571428571429,0.03571428571428571,0.0
-122.320646,47.542708000000005,32,28,0,1,Georgetown,0.5245901639344263,0.45901639344262296,0.0,0.01639344262295082
-122.37229199999999,47.567775,20,32,2,0,North Delridge,0.37037037037037035,0.5925925925925926,0.037037037037037035,0.0
-122.35545400000001,47.714213,28,23,0,0,Broadview/Bitter Lake,0.5490196078431373,0.45098039215686275,0.0,0.0
-122.373204,47.534129,17,6,0,0,Roxhill/Westwood,0.7391304347826086,0.2608695652173913,0.0,0.0
-122.31483999999999,47.692846,21,28,2,0,Northgate/Maple Leaf,0.4117647058823529,0.5490196078431373,0.0392156862745098,0.0
-122.38049299999999,47.702155,7,10,1,0,North Beach/Blue Ridge,0.3888888888888889,0.5555555555555556,0.05555555555555555,0.0
-122.30211899999999,47.587927,44,29,1,0,Mt. Baker/North Rainier,0.5945945945945946,0.3918918918918919,0.013513513513513514,0.0
-122.386227,47.534116,14,9,0,0,Fauntleroy/Seaview,0.6086956521739131,0.391304347826087,0.0,0.0
-122.350769,47.677144,32,61,3,0,Greenwood/Phinney Ridge,0.3333333333333333,0.6354166666666666,0.03125,0.0
-122.313629,47.704478,27,25,0,0,Northgate/Maple Leaf,0.5192307692307693,0.4807692307692308,0.0,0.0
-122.283983,47.680517,8,16,0,0,Wedgwood/View Ridge,0.3333333333333333,0.6666666666666666,0.0,0.0
-122.320536,47.716113,29,20,0,0,Haller Lake,0.5918367346938775,0.40816326530612246,0.0,0.0
-122.33526499999999,47.666114,44,51,6,1,Green Lake,0.43137254901960786,0.5,0.058823529411764705,0.00980392156862745
-122.351724,47.62631,29,97,8,5,Queen Anne,0.20863309352517986,0.697841726618705,0.05755395683453238,0.03597122302158273
-122.34090900000001,47.660262,52,89,8,1,Wallingford,0.3466666666666667,0.5933333333333334,0.05333333333333334,0.006666666666666667
-122.338955,47.582119,21,15,0,0,Duwamish/SODO,0.5833333333333334,0.4166666666666667,0.0,0.0
-122.37584199999999,47.563531,33,51,4,0,North Delridge,0.375,0.5795454545454546,0.045454545454545456,0.0
-122.386578,47.538373,12,8,0,0,Fauntleroy/Seaview,0.6,0.4,0.0,0.0
-122.354037,47.699301,33,48,1,0,Greenwood/Phinney Ridge,0.4024390243902439,0.5853658536585366,0.012195121951219513,0.0
-122.34058200000001,47.676423,18,39,3,0,Green Lake,0.3,0.65,0.05,0.0
-122.36728400000001,47.536821999999994,6,4,0,0,High Point,0.6,0.4,0.0,0.0
-122.35097900000001,47.680358,34,70,3,0,Greenwood/Phinney Ridge,0.3177570093457944,0.6542056074766355,0.028037383177570093,0.0
-122.37408899999998,47.66803,54,112,2,1,Ballard,0.31952662721893493,0.6627218934911243,0.011834319526627219,0.005917159763313609
-122.300982,47.54671,6,3,0,0,Beacon Hill,0.6666666666666666,0.3333333333333333,0.0,0.0
-122.304965,47.590278999999995,58,33,1,0,North Beacon Hill/Jefferson Park,0.6304347826086957,0.358695652173913,0.010869565217391304,0.0
-122.407098,47.649925,8,12,1,0,Magnolia,0.38095238095238093,0.5714285714285714,0.047619047619047616,0.0
-122.34288400000001,47.540201,15,5,0,0,Highland Park,0.75,0.25,0.0,0.0
-122.30752199999999,47.562484000000005,16,17,0,1,North Beacon Hill/Jefferson Park,0.47058823529411764,0.5,0.0,0.029411764705882353
-122.332525,47.596668,49,79,12,1,Duwamish/SODO,0.3475177304964539,0.5602836879432624,0.0851063829787234,0.0070921985815602835
-122.30709399999999,47.717852,32,23,0,0,Olympic Hills/Victory Heights,0.5818181818181818,0.41818181818181815,0.0,0.0
-122.29383500000002,47.616217,29,38,5,0,Central Area/Squire Park,0.4027777777777778,0.5277777777777778,0.06944444444444445,0.0
-122.371827,47.686423,25,32,1,0,Whittier Heights,0.43103448275862066,0.5517241379310345,0.017241379310344827,0.0
-122.33825800000001,47.565698,21,14,0,0,Duwamish/SODO,0.6,0.4,0.0,0.0
-122.36349799999999,47.544746,7,3,0,0,High Point,0.7,0.3,0.0,0.0
-122.32063600000001,47.699672,34,29,0,0,Northgate/Maple Leaf,0.5396825396825397,0.4603174603174603,0.0,0.0
